"team","task","dataset","run","Ftrackall","Ptrackall","Rtrackall","Ftrackgen","Ptrackgen","Rtrackgen","Ftracksub","Ptracksub","Rtracksub","Flabelall","Plabelall","Rlabelall","Flabelgen","Plabelgen","Rlabelgen","Flabelsub","Plabelsub","Rlabelsub"
"baseline","task1","allmusic","run1",0.1438,0.1433,0.1099,0.2893,0.2897,0.2729,0.0317,0.0317,0.0278,0.0059,0.0059,0.0059,0.0635,0.0634,0.0634,0.0043,0.0043,0.0042
"baseline","task1","allmusic","run2",0.5432,0.1927,0.2491,0.5432,0.4536,0.4808,0,0,0,7e-04,0.0013,9e-04,0.0259,0.0476,0.0335,0,0,0
"baseline","task1","discogs","run1",0.1443,0.1443,0.1306,0.2853,0.2854,0.267,0.0217,0.0218,0.0194,0.01,0.0098,0.0098,0.0909,0.0914,0.0911,0.006,0.0057,0.0057
"baseline","task1","discogs","run2",0.506,0.193,0.2686,0.506,0.4163,0.4435,0,0,0,0.0016,0.0032,0.0021,0.0337,0.0667,0.0448,0,0,0
"baseline","task1","lastfm","run1",0.0756,0.0757,0.0698,0.1455,0.146,0.1408,0.017,0.017,0.016,0.0074,0.0074,0.0074,0.0378,0.0381,0.0379,0.0043,0.0043,0.0043
"baseline","task1","lastfm","run2",0.3335,0.133,0.1841,0.3335,0.3021,0.3121,0,0,0,0.001,0.0031,0.0015,0.0111,0.0333,0.0167,0,0,0
"baseline","task1","tagtraum","run1",0.131,0.1305,0.1275,0.2624,0.2627,0.2575,0.0608,0.0608,0.0591,0.0097,0.0097,0.0097,0.036,0.036,0.036,0.0067,0.0067,0.0066
"baseline","task1","tagtraum","run2",0.5037,0.1672,0.2495,0.5037,0.4776,0.4862,0,0,0,0.0017,0.0034,0.0023,0.0162,0.0323,0.0216,0,0,0
"dbis","task1","allmusic","run1",0.1569,0.3355,0.1509,0.6454,0.555,0.5814,0.0612,0.1592,0.0744,0.0578,0.0359,0.0102,0.3242,0.1021,0.1111,0.0503,0.034,0.0074
"dbis","task1","allmusic","run2",0.0891,0.4443,0.1291,0.2489,0.7449,0.3531,0.0551,0.2046,0.0755,0.1219,0.0872,0.0274,0.1664,0.617,0.2344,0.1206,0.0723,0.0216
"dbis","task1","allmusic","run3",0.2069,0.4538,0.249,0.5849,0.6514,0.5873,0.1614,0.3209,0.1931,0.0706,0.1125,0.0704,0.3164,0.2862,0.2658,0.0636,0.1076,0.0648
"dbis","task1","allmusic","run4",0.2069,0.4538,0.249,0.5849,0.6514,0.5873,0.1614,0.3209,0.1931,0.0706,0.1125,0.0704,0.3164,0.2862,0.2658,0.0636,0.1076,0.0648
"dbis","task1","allmusic","run5",0.2069,0.4538,0.249,0.5849,0.6514,0.5873,0.1614,0.3209,0.1931,0.0706,0.1125,0.0704,0.3164,0.2862,0.2658,0.0636,0.1076,0.0648
"dbis","task1","discogs","run1",0.6944,0.3072,0.3978,0.7208,0.6304,0.6532,0.0317,0.028,0.0261,0.1974,0.0228,0.0286,0.5873,0.246,0.2974,0.1779,0.0117,0.0151
"dbis","task1","discogs","run2",0.4712,0.4424,0.3899,0.4932,0.8416,0.5725,0.0538,0.0508,0.0466,0.2356,0.053,0.036,0.2627,0.6844,0.3497,0.2343,0.0214,0.0204
"dbis","task1","discogs","run3",0.3251,0.5553,0.3739,0.6831,0.7503,0.6802,0.1757,0.3837,0.2185,0.1335,0.2053,0.1436,0.4322,0.47,0.4413,0.1185,0.1921,0.1288
"dbis","task1","discogs","run4",0.3251,0.5553,0.3739,0.6831,0.7503,0.6802,0.1757,0.3837,0.2185,0.1335,0.2053,0.1436,0.4322,0.47,0.4413,0.1185,0.1921,0.1288
"dbis","task1","discogs","run5",0.3251,0.5553,0.3739,0.6831,0.7503,0.6802,0.1757,0.3837,0.2185,0.1335,0.2053,0.1436,0.4322,0.47,0.4413,0.1185,0.1921,0.1288
"dbis","task1","lastfm","run1",0.5267,0.2455,0.3182,0.5314,0.4996,0.5077,0.0475,0.0359,0.0395,0.5232,0.0292,0.0442,0.357,0.133,0.1534,0.54,0.0187,0.0332
"dbis","task1","lastfm","run2",0.2567,0.5022,0.2896,0.2731,0.8329,0.3815,0.1011,0.1117,0.0982,0.5789,0.1345,0.0944,0.1614,0.7662,0.2439,0.621,0.0707,0.0793
"dbis","task1","lastfm","run3",0.3005,0.5244,0.34,0.4494,0.6828,0.5118,0.2177,0.3847,0.2512,0.1391,0.2429,0.155,0.3118,0.4002,0.3131,0.1216,0.227,0.139
"dbis","task1","lastfm","run4",0.3005,0.5244,0.34,0.4494,0.6828,0.5118,0.2177,0.3847,0.2512,0.1391,0.2429,0.155,0.3118,0.4002,0.3131,0.1216,0.227,0.139
"dbis","task1","lastfm","run5",0.3005,0.5244,0.34,0.4494,0.6828,0.5118,0.2177,0.3847,0.2512,0.1391,0.2429,0.155,0.3118,0.4002,0.3131,0.1216,0.227,0.139
"dbis","task1","tagtraum","run1",0.5659,0.2933,0.3693,0.6054,0.5805,0.5868,0.2406,0.1397,0.1714,0.2343,0.0306,0.0408,0.3805,0.1337,0.1691,0.2172,0.0185,0.0258
"dbis","task1","tagtraum","run2",0.372,0.4547,0.3485,0.3884,0.8092,0.4809,0.2148,0.2081,0.1916,0.2409,0.137,0.07,0.1604,0.7163,0.2429,0.2503,0.0692,0.0498
"dbis","task1","tagtraum","run3",0.3159,0.5085,0.3631,0.3943,0.6895,0.4779,0.2848,0.3969,0.3032,0.1417,0.2337,0.1529,0.3476,0.4563,0.3448,0.1176,0.2076,0.1305
"dbis","task1","tagtraum","run4",0.3159,0.5085,0.3631,0.3943,0.6895,0.4779,0.2848,0.3969,0.3032,0.1417,0.2337,0.1529,0.3476,0.4563,0.3448,0.1176,0.2076,0.1305
"dbis","task1","tagtraum","run5",0.3159,0.5085,0.3631,0.3943,0.6895,0.4779,0.2848,0.3969,0.3032,0.1417,0.2337,0.1529,0.3476,0.4563,0.3448,0.1176,0.2076,0.1305
"dbis","task2","allmusic","run1",0.1569,0.3355,0.1509,0.6454,0.555,0.5814,0.0612,0.1592,0.0744,0.0578,0.0359,0.0102,0.3242,0.1021,0.1111,0.0503,0.034,0.0074
"dbis","task2","allmusic","run2",0.0891,0.4443,0.1291,0.2489,0.7449,0.3531,0.0551,0.2046,0.0755,0.1219,0.0872,0.0274,0.1664,0.617,0.2344,0.1206,0.0723,0.0216
"dbis","task2","allmusic","run3",0.2069,0.4538,0.249,0.5849,0.6514,0.5873,0.1614,0.3209,0.1931,0.0706,0.1125,0.0704,0.3164,0.2862,0.2658,0.0636,0.1076,0.0648
"dbis","task2","allmusic","run4",0.2265,0.2968,0.1757,0.4785,0.5238,0.4746,0.0648,0.1145,0.0585,0.0559,0.0353,0.0166,0.2857,0.2352,0.2078,0.0495,0.0297,0.0113
"dbis","task2","allmusic","run5",0.2315,0.3312,0.183,0.5201,0.5735,0.5164,0.0659,0.1361,0.0651,0.0597,0.0459,0.0185,0.2863,0.2409,0.2298,0.0533,0.0404,0.0126
"dbis","task2","discogs","run1",0.6944,0.3072,0.3978,0.7208,0.6304,0.6532,0.0317,0.028,0.0261,0.1974,0.0228,0.0286,0.5873,0.246,0.2974,0.1779,0.0117,0.0151
"dbis","task2","discogs","run2",0.4712,0.4424,0.3899,0.4932,0.8416,0.5725,0.0538,0.0508,0.0466,0.2356,0.053,0.036,0.2627,0.6844,0.3497,0.2343,0.0214,0.0204
"dbis","task2","discogs","run3",0.3251,0.5553,0.3739,0.6831,0.7503,0.6802,0.1757,0.3837,0.2185,0.1335,0.2053,0.1436,0.4322,0.47,0.4413,0.1185,0.1921,0.1288
"dbis","task2","discogs","run4",0.6084,0.3159,0.3818,0.6141,0.6431,0.5998,0.0138,0.0101,0.0107,0.1523,0.0215,0.0219,0.3877,0.3807,0.3419,0.1405,0.0035,0.0059
"dbis","task2","discogs","run5",0.6832,0.3486,0.4257,0.6895,0.7073,0.6681,0.018,0.0137,0.0143,0.1604,0.0235,0.026,0.4333,0.3948,0.3954,0.1467,0.0049,0.0075
"dbis","task2","lastfm","run1",0.5267,0.2455,0.3182,0.5314,0.4996,0.5077,0.0475,0.0359,0.0395,0.5232,0.0292,0.0442,0.357,0.133,0.1534,0.54,0.0187,0.0332
"dbis","task2","lastfm","run2",0.2567,0.5022,0.2896,0.2731,0.8329,0.3815,0.1011,0.1117,0.0982,0.5789,0.1345,0.0944,0.1614,0.7662,0.2439,0.621,0.0707,0.0793
"dbis","task2","lastfm","run3",0.3005,0.5244,0.34,0.4494,0.6828,0.5118,0.2177,0.3847,0.2512,0.1391,0.2429,0.155,0.3118,0.4002,0.3131,0.1216,0.227,0.139
"dbis","task2","lastfm","run4",0.4565,0.3797,0.3657,0.4607,0.6935,0.5232,0.0674,0.0526,0.0561,0.4231,0.0559,0.0552,0.3015,0.4054,0.309,0.4354,0.0206,0.0296
"dbis","task2","lastfm","run5",0.4565,0.3797,0.3657,0.4607,0.6935,0.5232,0.0674,0.0526,0.0561,0.4231,0.0559,0.0552,0.3015,0.4054,0.309,0.4354,0.0206,0.0296
"dbis","task2","tagtraum","run1",0.5659,0.2933,0.3693,0.6054,0.5805,0.5868,0.2406,0.1397,0.1714,0.2343,0.0306,0.0408,0.3805,0.1337,0.1691,0.2172,0.0185,0.0258
"dbis","task2","tagtraum","run2",0.372,0.4547,0.3485,0.3884,0.8092,0.4809,0.2148,0.2081,0.1916,0.2409,0.137,0.07,0.1604,0.7163,0.2429,0.2503,0.0692,0.0498
"dbis","task2","tagtraum","run3",0.3159,0.5085,0.3631,0.3943,0.6895,0.4779,0.2848,0.3969,0.3032,0.1417,0.2337,0.1529,0.3476,0.4563,0.3448,0.1176,0.2076,0.1305
"dbis","task2","tagtraum","run4",0.5862,0.3152,0.3855,0.616,0.6218,0.6067,0.2093,0.1285,0.1534,0.2136,0.0491,0.0535,0.3775,0.2571,0.2467,0.1944,0.0248,0.0309
"dbis","task2","tagtraum","run5",0.6068,0.3293,0.4012,0.6393,0.6435,0.6288,0.2253,0.1394,0.1657,0.2277,0.0519,0.0586,0.3959,0.2655,0.2715,0.208,0.0269,0.0337
"icsi","task1","discogs","run1",0.0109,0.65,0.0214,0.0989,0.791,0.172,0.006,0.5171,0.0117,0.0104,0.5702,0.0163,0.0963,0.7399,0.1471,0.0061,0.5617,0.0098
"icsi","task1","discogs","run2",0.0136,0.6083,0.0264,0.0989,0.791,0.172,0.0069,0.4322,0.0135,0.0105,0.4496,0.0164,0.0963,0.7399,0.1471,0.0062,0.435,0.0099
"icsi","task1","discogs","run3",0.032,0.3337,0.0568,0.2059,0.4023,0.2475,0.0181,0.2735,0.0331,0.0247,0.2484,0.0349,0.1375,0.3149,0.1638,0.0191,0.2451,0.0285
"icsi","task1","discogs","run4",0.028,0.3621,0.0508,0.1725,0.4595,0.2326,0.0153,0.2823,0.0284,0.0191,0.2585,0.0293,0.1095,0.351,0.1409,0.0146,0.2538,0.0237
"icsi","task1","discogs","run5",0.0216,0.3493,0.0401,0.0999,0.3943,0.1513,0.0136,0.3092,0.0257,0.016,0.2764,0.025,0.0889,0.3908,0.117,0.0123,0.2707,0.0204
"icsi","task1","lastfm","run1",0.0065,0.4746,0.0129,0.0454,0.4887,0.0824,0.0048,0.4981,0.0096,0.0089,0.5392,0.0105,0.0553,0.4076,0.0466,0.0042,0.5525,0.0068
"icsi","task1","lastfm","run2",0.0097,0.3715,0.0187,0.0454,0.4887,0.0824,0.0054,0.2648,0.0106,0.0117,0.268,0.0089,0.0553,0.4076,0.0466,0.0073,0.2539,0.0051
"icsi","task1","lastfm","run3",0.0385,0.2619,0.0637,0.0993,0.3053,0.1406,0.0274,0.219,0.0461,0.0307,0.2075,0.0406,0.0926,0.2585,0.1026,0.0244,0.2023,0.0343
"icsi","task1","lastfm","run4",0.0338,0.2711,0.0575,0.0883,0.3338,0.1331,0.0219,0.202,0.0379,0.0264,0.1978,0.0353,0.0815,0.2831,0.1049,0.0208,0.1892,0.0282
"icsi","task1","lastfm","run5",0.0273,0.277,0.0483,0.0691,0.3284,0.1098,0.0191,0.2187,0.0341,0.0217,0.206,0.0311,0.0591,0.277,0.0795,0.0179,0.1989,0.0262
"icsi","task1","tagtraum","run1",0.0114,0.5375,0.0222,0.0372,0.3977,0.0673,0.0095,0.6141,0.0187,0.0129,0.5859,0.0185,0.0509,0.4937,0.0514,0.0084,0.5967,0.0146
"icsi","task1","tagtraum","run2",0.0129,0.3272,0.0246,0.0371,0.3981,0.0673,0.0082,0.2519,0.0157,0.0151,0.2915,0.018,0.0509,0.494,0.0513,0.011,0.2678,0.0141
"icsi","task1","tagtraum","run3",0.0487,0.2655,0.0782,0.1213,0.3366,0.1654,0.0318,0.2137,0.0528,0.0384,0.2099,0.0488,0.111,0.3349,0.1327,0.0299,0.1953,0.039
"icsi","task1","tagtraum","run4",0.0456,0.3201,0.0774,0.1276,0.4357,0.1876,0.0273,0.2432,0.0477,0.0326,0.2257,0.0443,0.0957,0.3291,0.1232,0.0253,0.2136,0.0351
"icsi","task1","tagtraum","run5",0.0336,0.2968,0.0589,0.0636,0.3376,0.1038,0.0259,0.2562,0.0458,0.0262,0.2324,0.0374,0.0722,0.3845,0.094,0.0208,0.2146,0.0307
"jku","task1","allmusic","run1",0.4458,0.5381,0.4308,0.6519,0.7687,0.6734,0.3718,0.3763,0.3325,0.2488,0.1821,0.196,0.4258,0.4252,0.4113,0.2438,0.1753,0.1899
"jku","task1","allmusic","run2",0.5441,0.4737,0.4421,0.695,0.7276,0.6841,0.3784,0.2965,0.297,0.2997,0.1436,0.1791,0.5003,0.373,0.4075,0.294,0.1371,0.1727
"jku","task1","allmusic","run3",0.4829,0.4942,0.4255,0.6903,0.7157,0.6764,0.3518,0.3398,0.3111,0.2589,0.171,0.1955,0.457,0.399,0.4209,0.2533,0.1646,0.1891
"jku","task1","discogs","run1",0.4925,0.6621,0.5281,0.7196,0.8767,0.7533,0.355,0.4693,0.3699,0.251,0.266,0.2448,0.4908,0.6005,0.531,0.239,0.2492,0.2305
"jku","task1","discogs","run2",0.5981,0.5896,0.5499,0.7698,0.8391,0.7716,0.3598,0.3672,0.3344,0.3031,0.2099,0.2317,0.5685,0.5487,0.5474,0.2898,0.193,0.2159
"jku","task1","discogs","run3",0.5022,0.6168,0.5128,0.7877,0.8079,0.7689,0.3419,0.4544,0.3556,0.2568,0.2772,0.2515,0.5783,0.5343,0.5502,0.2408,0.2644,0.2366
"jku","task1","lastfm","run1",0.5292,0.6406,0.5461,0.6905,0.7944,0.7152,0.4304,0.5001,0.4382,0.386,0.3624,0.3513,0.4872,0.5775,0.5222,0.3758,0.3406,0.334
"jku","task1","lastfm","run2",0.5853,0.6001,0.5557,0.711,0.7742,0.7205,0.4344,0.4396,0.416,0.4389,0.3189,0.3456,0.5118,0.5494,0.5237,0.4315,0.2956,0.3277
"jku","task1","lastfm","run3",0.5626,0.604,0.546,0.7106,0.7604,0.7144,0.4306,0.4617,0.4228,0.3994,0.3438,0.3488,0.5075,0.548,0.5232,0.3885,0.3232,0.3312
"jku","task1","tagtraum","run1",0.5026,0.6451,0.5432,0.6972,0.8204,0.7298,0.4307,0.5443,0.4569,0.2839,0.2994,0.2744,0.459,0.551,0.4919,0.2635,0.27,0.249
"jku","task1","tagtraum","run2",0.5774,0.5842,0.556,0.7245,0.7895,0.737,0.4778,0.4649,0.4473,0.3326,0.2431,0.2604,0.5134,0.4991,0.4954,0.3114,0.2131,0.2329
"jku","task1","tagtraum","run3",0.5145,0.5991,0.5278,0.7206,0.7699,0.7272,0.4167,0.5029,0.4303,0.2907,0.3042,0.2819,0.5069,0.5049,0.4981,0.2654,0.2808,0.2566
"jku","task2","allmusic","run1",0.1683,0.735,0.2532,0.4548,0.8586,0.5496,0.1584,0.6458,0.2366,0.1262,0.3388,0.1646,0.24,0.5847,0.3295,0.123,0.3318,0.1599
"jku","task2","allmusic","run2",0.2434,0.6741,0.3257,0.5485,0.8266,0.6186,0.2283,0.5658,0.2977,0.1743,0.2737,0.1906,0.3125,0.5194,0.3787,0.1704,0.2668,0.1853
"jku","task2","allmusic","run3",0.1754,0.719,0.2541,0.5212,0.8327,0.5975,0.1631,0.6361,0.2359,0.1392,0.3398,0.17,0.2842,0.566,0.3652,0.1352,0.3334,0.1645
"jku","task2","allmusic","run4",0.4458,0.5381,0.4308,0.6519,0.7687,0.6734,0.3718,0.3763,0.3325,0.2488,0.1821,0.196,0.4258,0.4252,0.4113,0.2438,0.1753,0.1899
"jku","task2","allmusic","run5",0.4829,0.4942,0.4255,0.6903,0.7157,0.6764,0.3518,0.3398,0.3111,0.2589,0.171,0.1955,0.457,0.399,0.4209,0.2533,0.1646,0.1891
"jku","task2","discogs","run1",0.2029,0.8624,0.3104,0.4299,0.9593,0.5528,0.1573,0.7717,0.2421,0.1312,0.4674,0.1909,0.2967,0.7335,0.4068,0.1229,0.4541,0.1801
"jku","task2","discogs","run2",0.288,0.8057,0.3998,0.5437,0.9391,0.644,0.2252,0.6832,0.3118,0.1774,0.3863,0.226,0.3717,0.6903,0.4682,0.1677,0.3711,0.2138
"jku","task2","discogs","run3",0.1799,0.8512,0.2775,0.5844,0.9232,0.6726,0.1286,0.7887,0.2039,0.1371,0.5358,0.1905,0.393,0.6862,0.4815,0.1243,0.5283,0.176
"jku","task2","discogs","run4",0.4925,0.6621,0.5281,0.7196,0.8767,0.7533,0.355,0.4693,0.3699,0.251,0.266,0.2448,0.4908,0.6005,0.531,0.239,0.2492,0.2305
"jku","task2","discogs","run5",0.5022,0.6168,0.5128,0.7877,0.8079,0.7689,0.3419,0.4544,0.3556,0.2568,0.2772,0.2515,0.5783,0.5343,0.5502,0.2408,0.2644,0.2366
"jku","task2","lastfm","run1",0.2097,0.8325,0.3191,0.3818,0.9117,0.5056,0.1898,0.7586,0.2841,0.1978,0.5432,0.264,0.2965,0.7339,0.4094,0.1878,0.524,0.2493
"jku","task2","lastfm","run2",0.3246,0.7712,0.434,0.5192,0.8762,0.6174,0.3012,0.6754,0.3895,0.2729,0.4671,0.3156,0.3807,0.6711,0.4759,0.262,0.4465,0.2994
"jku","task2","lastfm","run3",0.2622,0.7783,0.3684,0.5606,0.8583,0.6433,0.2169,0.7123,0.3073,0.2404,0.533,0.2922,0.4161,0.6727,0.4953,0.2226,0.5189,0.2716
"jku","task2","lastfm","run4",0.5292,0.6406,0.5461,0.6905,0.7944,0.7152,0.4304,0.5001,0.4382,0.386,0.3624,0.3513,0.4872,0.5775,0.5222,0.3758,0.3406,0.334
"jku","task2","lastfm","run5",0.5626,0.604,0.546,0.7106,0.7604,0.7144,0.4306,0.4617,0.4228,0.3994,0.3438,0.3488,0.5075,0.548,0.5232,0.3885,0.3232,0.3312
"jku","task2","tagtraum","run1",0.2248,0.8432,0.3445,0.5294,0.9176,0.6228,0.1822,0.8044,0.2872,0.1467,0.5257,0.2142,0.2686,0.7254,0.3797,0.1325,0.5024,0.1949
"jku","task2","tagtraum","run2",0.3116,0.7885,0.4318,0.6051,0.8916,0.6801,0.2599,0.7326,0.3678,0.1993,0.4402,0.2539,0.3417,0.6616,0.4389,0.1826,0.4143,0.2323
"jku","task2","tagtraum","run3",0.2009,0.8269,0.3111,0.5978,0.8804,0.6745,0.1529,0.8065,0.2465,0.1625,0.5818,0.2203,0.3502,0.6821,0.4396,0.1405,0.5701,0.1947
"jku","task2","tagtraum","run4",0.5026,0.6451,0.5432,0.6972,0.8204,0.7298,0.4307,0.5443,0.4569,0.2839,0.2994,0.2744,0.459,0.551,0.4919,0.2635,0.27,0.249
"jku","task2","tagtraum","run5",0.5145,0.5991,0.5278,0.7206,0.7699,0.7272,0.4167,0.5029,0.4303,0.2907,0.3042,0.2819,0.5069,0.5049,0.4981,0.2654,0.2808,0.2566
"kart","task1","allmusic","run1",0.3703,0.2111,0.2229,0.5384,0.4525,0.4783,0.0821,0.0335,0.043,0.0053,0.0035,0.0022,0.0804,0.0597,0.0464,0.0032,0.0019,0.001
"kart","task1","allmusic","run2",0.2079,0.1119,0.1203,0.2427,0.2334,0.2244,0.0192,0.0085,0.0105,0.0098,0.003,0.0026,0.1224,0.0703,0.0552,0.0066,0.0011,0.0011
"kart","task1","allmusic","run3",0.4788,0.2196,0.2573,0.544,0.4747,0.4904,0.1005,0.0286,0.0423,0.0121,0.0024,0.002,0.1739,0.0644,0.0575,0.0075,6e-04,4e-04
"kart","task1","allmusic","run4",0.5362,0.1958,0.2503,0.5437,0.4556,0.482,0.0144,0.004,0.006,0.0047,0.0014,0.0012,0.1098,0.0496,0.0372,0.0018,1e-04,1e-04
"kart","task1","discogs","run1",0.2244,0.1504,0.1596,0.288,0.3238,0.2838,0.0153,0.0114,0.0118,0.0229,0.0117,0.0077,0.1632,0.146,0.0966,0.0159,0.0049,0.0033
"kart","task1","discogs","run2",0.2063,0.1418,0.1485,0.2861,0.2999,0.2761,0.0184,0.0161,0.0153,0.0304,0.012,0.008,0.2014,0.134,0.0768,0.0219,0.0059,0.0045
"kart","task1","discogs","run3",0.2906,0.3176,0.2804,0.31,0.6595,0.4007,0.027,0.0184,0.0207,0.0185,0.0148,0.0071,0.2261,0.2593,0.1175,0.0082,0.0026,0.0016
"kart","task1","discogs","run4",0.4018,0.247,0.2837,0.4114,0.5305,0.4384,0.0095,0.0062,0.0072,0.012,0.0089,0.0056,0.1227,0.171,0.1001,0.0065,8e-04,9e-04
"kart","task1","lastfm","run1",0.2652,0.138,0.1685,0.3079,0.2896,0.2923,0.0223,0.0176,0.0185,0.0201,0.009,0.0075,0.1105,0.0612,0.0474,0.0109,0.0038,0.0035
"kart","task1","lastfm","run2",0.2047,0.1225,0.1396,0.259,0.2509,0.248,0.0213,0.0188,0.0185,0.0178,0.0095,0.0079,0.1031,0.059,0.0514,0.0092,0.0044,0.0035
"kart","task1","lastfm","run3",0.2838,0.1592,0.1876,0.2942,0.3416,0.3017,0.0124,0.0092,0.0101,0.016,0.0093,0.006,0.0849,0.0843,0.0463,0.009,0.0017,0.0019
"kart","task1","lastfm","run4",0.3188,0.1357,0.1821,0.3201,0.3013,0.3039,0.0022,0.0014,0.0017,0.015,0.0056,0.0044,0.0843,0.0582,0.042,0.008,3e-04,6e-04
"kart","task1","tagtraum","run1",0.2102,0.1879,0.1802,0.3235,0.3445,0.3253,0.0858,0.1059,0.0871,0.0267,0.0281,0.0162,0.1042,0.0991,0.0674,0.0177,0.0198,0.0102
"kart","task1","tagtraum","run2",0.1655,0.1298,0.1326,0.2364,0.2409,0.2336,0.0646,0.0649,0.0599,0.0261,0.0183,0.0125,0.0967,0.0762,0.0542,0.0179,0.0115,0.0076
"kart","task1","tagtraum","run3",0.2953,0.3017,0.2852,0.3896,0.5287,0.4292,0.1976,0.1777,0.1775,0.0326,0.0253,0.0187,0.126,0.1277,0.0885,0.0217,0.0133,0.0105
"kart","task1","tagtraum","run4",0.3577,0.2116,0.2514,0.4215,0.4304,0.4179,0.1374,0.0899,0.1044,0.0312,0.0149,0.0141,0.142,0.0902,0.0774,0.0182,0.0061,0.0067
"samirit","task1","allmusic","run1",0.3751,0.1455,0.1813,0.3962,0.3334,0.3513,0.0144,0.0053,0.007,0.0058,0.0017,0.0019,0.0626,0.0485,0.0488,0.0042,3e-04,6e-04
"samirit","task1","discogs","run1",0.3043,0.1243,0.1664,0.3221,0.2674,0.2812,0.0032,0.0021,0.0023,0.0103,0.0039,0.0045,0.0903,0.0699,0.0764,0.0063,6e-04,9e-04
"samirit","task1","lastfm","run1",0.1845,0.0813,0.1073,0.1937,0.1764,0.1813,0.0037,0.0026,0.0029,0.0077,0.0036,0.0038,0.0382,0.0332,0.0328,0.0046,6e-04,9e-04
"samirit","task1","tagtraum","run1",0.2892,0.1214,0.1649,0.3231,0.3055,0.311,0.0378,0.0209,0.0263,0.0082,0.0045,0.005,0.0364,0.0321,0.0322,0.0049,0.0013,0.0018
